iter	MultiClass
0	1.054466062
1	1.015151405
2	0.977590019
3	0.9424820854
4	0.9128443978
5	0.8847067445
6	0.8602790741
7	0.8370125805
8	0.8161094234
9	0.7992446732
10	0.7787380911
11	0.7617243122
12	0.7436346418
13	0.7276241617
14	0.7111269657
15	0.695834814
16	0.6835885565
17	0.6704548532
18	0.6565014196
19	0.6445602382
20	0.6329365313
21	0.6245271487
22	0.6143513192
23	0.6039839001
24	0.5951062071
25	0.5873384909
26	0.5792176154
27	0.5726390274
28	0.5662192472
29	0.5607949293
30	0.5541180477
31	0.5478324161
32	0.5406251791
33	0.5355321181
34	0.5285766452
35	0.5250422657
36	0.5204738391
37	0.5164175963
38	0.5118019958
39	0.5084260966
40	0.5053934201
41	0.5015879808
42	0.4979356171
43	0.4939586597
44	0.4898190245
45	0.4862928261
46	0.4829820517
47	0.4803991663
48	0.478108934
49	0.4743919341
50	0.4725964069
51	0.470149111
52	0.4680885093
53	0.4654218139
54	0.4625625216
55	0.4594040195
56	0.4566419724
57	0.4545771642
58	0.4535415273
59	0.4515528761
60	0.4496008325
61	0.4479983886
62	0.4459778837
63	0.4442943407
64	0.442471913
65	0.4402213062
66	0.4385512088
67	0.4363151277
68	0.4349161456
69	0.4339173063
70	0.4324486207
71	0.4305887421
72	0.4278799973
73	0.4264325996
74	0.4249164282
75	0.4235249818
76	0.4223908231
77	0.4205984183
78	0.4191026535
79	0.4180418409
80	0.4164538777
81	0.4154529033
82	0.4145073928
83	0.4125796699
84	0.4114674703
85	0.4098637749
86	0.408445199
87	0.4069592703
88	0.4055105985
89	0.4046446695
90	0.402869327
91	0.401801106
92	0.4006498437
93	0.3997781133
94	0.398597855
95	0.3977332912
96	0.3970494852
97	0.3960535027
98	0.3953804544
99	0.3939349853
100	0.3928384725
101	0.3916552409
102	0.3900902189
103	0.3888731578
104	0.3878987906
105	0.3871182753
106	0.386556095
107	0.3855470147
108	0.3848876631
109	0.3840114501
110	0.3832310513
111	0.3823229056
112	0.381394793
113	0.3803423144
114	0.3790635163
115	0.3779927939
116	0.3773926819
117	0.3769330266
118	0.3765012924
119	0.3758238291
120	0.3746640066
121	0.3740390878
122	0.3729069198
123	0.3720022209
124	0.3707718616
125	0.3700025923
126	0.3693644047
127	0.3684461115
128	0.3675385465
129	0.3668616139
130	0.3660973579
131	0.3648910827
132	0.3641448465
133	0.3634003863
134	0.3626288856
135	0.3620874429
136	0.3613887994
137	0.3606551758
138	0.360005629
139	0.3594321296
140	0.3587673128
141	0.3582395048
142	0.3574157489
143	0.3568905542
144	0.3561341344
145	0.3553028533
146	0.3548200752
147	0.3541651292
148	0.3534872764
149	0.353201244
