iter	Passed	Remaining
0	202	30182
1	229	16991
2	254	12470
3	276	10090
4	297	8624
5	319	7666
6	342	6998
7	364	6477
8	387	6074
9	411	5767
10	443	5603
11	468	5385
12	490	5170
13	511	4970
14	532	4788
15	553	4637
16	575	4499
17	595	4367
18	617	4255
19	640	4161
20	662	4066
21	682	3973
22	703	3883
23	723	3800
24	746	3732
25	766	3655
26	786	3582
27	808	3521
28	829	3460
29	850	3402
30	876	3363
31	908	3349
32	936	3318
33	958	3270
34	978	3216
35	999	3163
36	1020	3115
37	1042	3073
38	1068	3040
39	1093	3007
40	1120	2977
41	1145	2944
42	1173	2919
43	1197	2883
44	1220	2847
45	1243	2812
46	1278	2802
47	1305	2773
48	1330	2741
49	1358	2717
50	1394	2706
51	1421	2679
52	1449	2652
53	1472	2617
54	1494	2580
55	1515	2544
56	1538	2510
57	1567	2487
58	1596	2461
59	1622	2433
60	1648	2405
61	1674	2376
62	1700	2347
63	1724	2317
64	1747	2285
65	1773	2256
66	1795	2224
67	1821	2195
68	1849	2171
69	1872	2140
70	1895	2108
71	1916	2076
72	1936	2042
73	1957	2010
74	1980	1980
75	2000	1948
76	2024	1919
77	2046	1888
78	2068	1859
79	2091	1830
80	2118	1804
81	2140	1775
82	2161	1745
83	2182	1714
84	2204	1685
85	2226	1656
86	2246	1627
87	2270	1599
88	2294	1572
89	2321	1547
90	2348	1522
91	2377	1498
92	2399	1470
93	2420	1441
94	2440	1412
95	2461	1384
96	2483	1357
97	2506	1330
98	2528	1302
99	2549	1274
100	2571	1247
101	2593	1220
102	2615	1193
103	2638	1166
104	2660	1140
105	2681	1113
106	2704	1086
107	2727	1060
108	2750	1034
109	2775	1009
110	2801	984
111	2822	957
112	2845	931
113	2866	905
114	2889	879
115	2911	853
116	2932	827
117	2953	801
118	2975	775
119	2995	748
120	3016	722
121	3036	696
122	3057	671
123	3077	645
124	3097	619
125	3118	593
126	3138	568
127	3159	543
128	3179	517
129	3202	492
130	3225	467
131	3248	442
132	3269	417
133	3290	392
134	3311	367
135	3334	343
136	3357	318
137	3378	293
138	3399	269
139	3422	244
140	3444	219
141	3464	195
142	3486	170
143	3508	146
144	3531	121
145	3553	97
146	3575	72
147	3595	48
148	3616	24
149	3637	0
